,Token,N_Ocorrencia,Length
1150,peasant,1,7
1151,prepar,4,6
1152,ned,1,3
1153,betray,1,6
1154,nose,1,4
1155,inserv,1,6
1156,address,2,7
1157,conquer,3,7
1158,romeo,5,5
1159,unground,1,8
1160,flavius,1,7
1161,srancest,1,8
1162,horribl,2,7
1163,heard,9,5
1164,salanio,1,7
1165,ask,3,3
1166,tedious,2,7
1167,mistress,8,8
1168,whole,2,5
1169,qualifi,1,7
1170,unroar,1,6
1171,countryman,1,10
1172,haild,1,5
1173,huge,1,4
1174,conduct,3,7
1175,falln,2,5
1176,misbeliev,1,9
1177,thinkst,1,7
1178,baser,1,5
1179,polonius,1,8
1180,prithe,6,6
1181,flower,4,6
1182,gallant,7,7
1183,tranio,3,6
1184,popen,1,5
1185,importun,1,8
1186,marriag,5,7
1187,bear,20,4
1188,soft,3,4
1189,terror,4,6
1190,knit,1,4
1191,stod,1,4
1192,worthier,1,8
1193,mrustanc,1,8
1194,hoe,1,3
1195,wrongd,1,6
1196,none,8,4
1197,agamemnon,1,9
1198,fermin,1,6
1199,beyond,3,6
1200,womb,1,4
1201,savag,1,5
1202,cort,1,4
1203,prayer,4,6
1204,leonato,3,7
1205,green,2,5
1206,ford,3,4
1207,courtesi,2,8
1208,prevail,1,7
1209,person,4,6
1210,stray,1,5
1211,absenc,3,6
1212,forth,4,5
1213,page,11,4
1214,nois,1,4
1215,rutland,2,7
1216,three,10,5
1217,breathinggild,1,13
1218,aid,1,3
1219,charmian,4,8
1220,togeth,12,6
1221,alexand,2,7
1222,lobe,1,4
1223,henri,16,5
1224,welkin,1,6
1225,distinct,1,8
1226,triumphant,1,10
1227,apparel,1,7
1228,outliv,2,6
1229,nephew,3,6
1230,region,1,6
1231,weighd,1,6
1232,armi,9,4
1233,jollofid,1,8
1234,taller,1,6
1235,templ,3,5
1236,led,1,3
1237,ireland,1,7
1238,lap,1,3
1239,fallend,1,7
1240,choler,1,6
1241,held,1,4
1242,slave,2,5
1243,beggar,5,6
1244,plagu,1,5
1245,carriag,1,7
1246,murderd,1,7
1247,wine,1,4
1248,plain,2,5
1249,bud,2,3
1250,rain,1,4
1251,guest,1,5
1252,beach,1,5
1253,english,5,7
1254,hundr,3,5
1255,cleopatra,11,9
1256,slain,1,5
1257,bassanio,3,8
1258,fad,1,3
1259,tew,1,3
1260,mattl,1,5
1261,dy,1,2
1262,mistook,1,7
1263,estat,2,5
1264,edg,2,3
1265,gainst,4,6
1266,dustconfound,1,12
1267,cressida,7,8
1268,angelo,7,6
1269,vineyard,1,8
1270,hoist,1,5
1271,abl,1,3
1272,help,5,4
1273,conusteri,1,9
1274,score,1,5
1275,month,1,5
